Epl.,Aufgaben-block,Aggregat,Kapitel,Einnahme /Ausgabe,Haupt-Gr.,Obergruppe,Gruppe,Titel.endn.,Finanzposition,Finanzstelle AOB,Zweckbestimmung,Funktion,Übertragbar,Leertitel,wgf Ansatz,Wegfall ab Gjahr,Deckungsring,E/A- Verknüpfung,E/A-Vermerk,Titelzuordnung,Aus Zuweisung,Sonderkenn-zeichen,Budget-titel = x,NSM-Titel = x,Zuwendungsanteil,Perskosten-anteil,Hafenanteil,Istergebnis VVVJ,Istergebnis VVJ,Reste VVJ ,"fortgeschr. Ansatz KM VJ (inkl. Nachbewilligung)","Nachbewilligungen KM VJ",Grundbew. GJ,"Ansatz KM GJ",VE GJ,Veränderung KM GJ ./. VJ,Ab-weichung in % ,Grundbew GJ+1,Ansatz KM GJ+1,VE GJ+1,Änd KM GJ+1./.GJ,Ab-weichung in % ,"15/26 LHO Merkmal, AöR",Personalkostenvolumen Zuwendung GJ,Zuwendungs-volumen VJ,Zuwendungs-volumen GJ,freies Merkmal
010,01001,11200,1000,EIN,1,11,119,02,01.0.1000.119.02,10.0.00000,Erstattungen parlamentarischer Gremien oder Funktionsträger für sächliche Aufwendungen der Bürgerschaftskanzlei,011,,X,,,,3EA10EINA,E = A,,,0000,,,000,000,000,"-9,867.93 ","-9,524.08 ",0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,11200,1000,EIN,1,11,119,95,01.0.1000.119.95,10.0.00000,"Einnahmen aus Mahnkosten, Verspätungszuschlägen und Stundungszinsen ",011,,X,,,,,,,,0000,,,000,000,000,-0.67 ,-15.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,11200,1000,EIN,1,11,119,98,01.0.1000.119.98,10.0.00000,Vermischte Einnahmen  ,011,,X,,,,,,,,0000,,,000,000,000,-4.86 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,11200,1000,EIN,2,28,282,01,01.0.1000.282.01,10.0.00000,Zweckgebundene Einnahmen für Veranstaltungen  ,011,,X,,,,3EMA10EINA,E = MA,,,0000,,,000,000,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,11200,1000,EIN,2,28,282,02,01.0.1000.282.02,10.0.00000,Einnahmen für die Abgeltung von Ansprüchen nach dem Urheberrecht ,011,,,,,,,,,,0000,,,000,000,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,14000,1000,EIN,3,38,382,01,01.0.1000.382.01,10.0.00000,Beteiligung der Abgeordneten an Versorgungs- leistungen ,890,,,,,,3EA10EINA,E = A,,,0000,,,000,000,000,"-196,229.11 ","-191,586.16 ",0.00 ,"-209,000 ",0 ,"-210,000 ","-210,000 ",0 ,"-1,000 ",0.5,"-214,000 ","-214,000 ",0 ,"-4,000 ",1.90,,0,0,0,
010,01001,21120,1000,AUS,4,41,411,01,01.0.1000.411.01,10.0.00000,Steuerpflichtiges Entgelt gemäß § 2 HmbAbgG  ,011,,,,,KDK-010-1000-01,,,,,1900,,,000,100,000,"4,260,168.70 ","4,609,339.78 ",0.00 ,"4,463,000 ",0 ,"4,556,000 ","4,556,000 ",0 ,"93,000 ",2.0,"4,638,000 ","4,638,000 ",0 ,"82,000 ",1.80,,"4,556,000",0,0,
010,01001,21120,1000,AUS,4,41,411,02,01.0.1000.411.02,10.0.00000,Fahrtkosten und Reisekosten gem. § 3 (4) HmbAbgG als Aufwandsentschädigung ,011,X,,,,KDK-010-1000-01,,,,,1900,,,000,100,000,"121,779.31 ","97,611.78 ",0.00 ,"114,000 ",0 ,"114,000 ","114,000 ",0 ,0 ,0.0,"117,000 ","117,000 ",0 ,"3,000 ",2.63,,"114,000",0,0,
010,01001,21120,1000,AUS,4,41,411,03,01.0.1000.411.03,10.0.00000,Einmalige Unterstützungen gem. § 7 HmbAbgG  ,011,X,,,,,,,,,0000,,,000,000,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21120,1000,AUS,4,41,411,04,01.0.1000.411.04,10.0.00000,Zuschüsse zum Familienunterhalt an Abgeordnete bzw. ihre Familien ,011,X,,,,KDK-010-1000-01,,,,,1900,,,000,100,000,"86,142.42 ","72,889.74 ",0.00 ,"80,000 ",0 ,"71,000 ","71,000 ",0 ,"-9,000 ",-12.7,"71,000 ","71,000 ",0 ,0 ,0.00,,"71,000",0,0,
010,01001,21120,1000,AUS,4,41,411,06,01.0.1000.411.06,10.0.00000,Zuschuss zur Kranken- und Pflegeversicherung gem. § 5 HmbAbgG ,011,X,,,,KDK-010-1000-01,,,,,1900,,,000,100,000,"132,479.46 ","115,298.67 ",0.00 ,"117,000 ",0 ,"126,000 ","126,000 ",0 ,"9,000 ",7.1,"131,000 ","131,000 ",0 ,"5,000 ",3.97,,"126,000",0,0,
010,01001,21120,1000,AUS,4,41,411,07,01.0.1000.411.07,10.0.00000,Bürokosten gemäß § 3 (1) HmbAbgG als Aufwandsent- schädigung ,011,X,,,,KDK-010-1000-01,,,,,1900,,,000,100,000,"993,415.08 ","1,347,832.65 ",0.00 ,"980,000 ",0 ,"1,001,000 ","1,001,000 ",0 ,"21,000 ",2.1,"1,001,000 ","1,001,000 ",0 ,0 ,0.00,,"1,001,000",0,0,
010,01001,21120,1000,AUS,4,41,411,08,01.0.1000.411.08,10.0.00000,Kostenpauschale gemäß § 3 (2) HmbAbgG als Auf- wandsentschädigung ,011,X,,,,KDK-010-1000-01,,,,,1900,,,000,100,000,"547,021.01 ","517,014.83 ",0.00 ,"511,000 ",0 ,"511,000 ","511,000 ",0 ,0 ,0.0,"511,000 ","511,000 ",0 ,0 ,0.00,,"511,000",0,0,
010,01001,21120,1000,AUS,4,41,411,09,01.0.1000.411.09,10.0.00000,Zuschuss für Hilfskräfte gemäß § 3 (3) HmbAbgG als Aufwandsentschädigung ,011,X,,,,KDK-010-1000-01,,,,,1900,,,000,100,000,"4,366,808.99 ","4,366,664.37 ",0.00 ,"4,578,000 ",0 ,"4,761,000 ","4,761,000 ",0 ,"183,000 ",3.8,"4,852,000 ","4,852,000 ",0 ,"91,000 ",1.91,,"4,761,000",0,0,
010,01001,21120,1000,AUS,4,41,411,10,01.0.1000.411.10,10.0.00000,Sitzungsgelder gemäß § 4 HmbAbgG als Aufwandsent- schädigung ,011,X,,,,KDK-010-1000-01,,,,,1900,,,000,100,000,"216,395.27 ","197,148.00 ",0.00 ,"255,000 ",0 ,"255,000 ","255,000 ",0 ,0 ,0.0,"255,000 ","255,000 ",0 ,0 ,0.00,,"255,000",0,0,
010,01001,21120,1000,AUS,4,41,411,11,01.0.1000.411.11,10.0.00000,"Altersentschädigung, Leistungen an Hinterbliebene gem. §§ 11, 14 und 15 HmbAbgG ",011,X,,,,KDK-010-1000-01,,,,,1900,,,000,100,000,"131,260.00 ","161,089.00 ",0.00 ,"232,000 ",0 ,"212,000 ","212,000 ",0 ,"-20,000 ",-9.4,"231,000 ","231,000 ",0 ,"19,000 ",8.96,,"212,000",0,0,
010,01001,21112,1000,AUS,4,42,422,61,01.0.1000.422.61,10.0.00000,"Bezüge der Beamtinnen, Beamten, Richterinnen und Richter ",011,X,X,,,TGR-010-1000-Z61,,,1000/Z61,,0000,,,000,000,000,"40,462.85 ","28,412.12 ","16,021.88 ","185,000 ",0 ,0 ,0 ,0 ,"-185,000 ",0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21112,1000,AUS,4,42,422,61,01.0.1000.422.61,97.0.00000,"Bezüge der Beamtinnen, Beamten, Richterinnen und Richter ",011,X,X,,,TGR-010-1000-Z61,,,1000/Z61,,0000,,,000,000,000,0.00 ,0.00 ,0.00 ,0 ,0 ,"194,000 ","194,000 ",0 ,"194,000 ",100.0,"197,000 ","197,000 ",0 ,"3,000 ",1.55,,0,0,0,
