Jahr,AGB,Text Aufgabenblock
2013,01001,Bürgerschaft  
2013,01002,Verfassungsgericht  
2013,01003,Rechnungshof  
2013,01101,Senat  
2013,01102,Personalamt  
2013,01201,Bezirksamt Hamburg-Mitte  
2013,01301,Bezirksamt Altona  
2013,01401,Bezirksamt Eimsbüttel  
2013,01501,Bezirksamt Hamburg-Nord  
2013,01601,Bezirksamt Wandsbek  
2013,01701,Bezirksamt Bergedorf  
2013,01801,Bezirksamt Harburg  
2013,02001,Justizverwaltung  
2013,02002,Hamburgischer Beauftragter für Datenschutz und Informationsfreiheit 
2013,02003,Staatsanwaltschaften  
2013,02004,Ordentliche Gerichte  
2013,02005,Fachgerichte  
2013,02006,Justizvollzug  
2013,03101,Verwaltung  
2013,03102,Zentrale Fachaufgaben Bildung  
2013,03103,Dienststellen des Amtes für Bildung  
2013,03104,Allgemeinbildende Schulen  
2013,03105,Berufliche Schulen  
2013,03106,Schulen in freier Trägerschaft  
2013,03107,Berufliche Bildung und Weiterbildung  
2013,03108,Politische Bildung  und Jugendinformation  
2013,03201,Zentrale und allgemeine Aufgaben  
2013,03202,Förderung der außeruniversitären Forschung  
2013,03203,Universität Hamburg  
2013,03204,Staats- und Universitätsbibliothek Hamburg  
2013,03205,HafenCity Universität  
2013,03206,Hochschule für angewandte Wissenschaften Hamburg  
2013,03207,Hochschule für bildende Künste  
2013,03208,Hochschule für Musik und Theater  
2013,03209,UKE  
2013,03210,TUHH  
2013,03211,Förderung der Studierenden  
2013,03301,Allgemeine Verwaltung  
2013,03302,Allgemeine Kulturförderung  
2013,03303,Museen  
2013,03304,Theater und Musik  
2013,03305,Denkmalschutz  
2013,03306,Staatsarchiv  
2013,04001,"Verwaltung, ÖRA  "
2013,04002,Arbeit und Integration  
2013,04003,"Integration von Zuwanderern, Bürgerschaftliches Engagement und Opferschutz "
2013,04004,"Arbeitsmarktpolitik, ESF-Verwaltungsbehörde  "
2013,04005,Jobcenter team.arbeit.hamburg  
2013,04006,"Familie, Jugend und Sozialordnung; Managementunterstützung "
2013,04007,Soziale Entschädigung  
2013,04008,Opferentschädigung  
2013,04009,"Kinder- und Jugendarbeit, Jugendsozialarbeit  "
2013,04010,Familienförderung  
2013,04011,Einzelfallfinanzierte Hilfen nach dem SGB VIII  
2013,04012,Andere Aufgaben der Jugendhilfe sowie Straffälligen- und Gerichtshilfe 
2013,04013,Kinderbetreuung  
2013,04014,Sozialer Bereich; Managementunterstützung  
2013,04015,Soziale Hilfen  
2013,04016,Hilfen zur Eingliederung  
2013,04017,Hilfen für Zuwanderer  
2013,05001,Zentrale Dienste  
2013,05002,Gesundheit  
2013,05003,"Hilfen zur Pflege und Betreuung, Altenpolitik  "
2013,05004,Verbraucherschutz  
2013,06001,Zentrale Aufgaben und Recht  
2013,06002,"Bodenordnung, Stadterneuerung und Wohnen  "
2013,06003,Bauordnung und Hochbau  
2013,06005,Bau und Betrieb  
2013,06006,Landes- und Landschaftsplanung  
2013,06007,Umweltschutz  
2013,06008,Natur- und Ressourcenschutz  
2013,06009,Immissionsschutz und Betriebe  
2013,07001,"Wirtschaft, Verkehr, Innovation  "
2013,08101,Allgemeine Verwaltung  
2013,08102,Einwohnerzentralamt  
2013,08105,Polizei und Wasserschutzpolizeischule  
2013,08106,Feuerwehr  
2013,08107,Verfassungsschutz  
2013,08108,Katastrophenschutz  
2013,08109,Sportförderung  
2013,08110,Sportstätten  
2013,08111,Universiade 2015  
2013,09101,Zentrale Dienste  
2013,09102,Haushalt und Aufgabenplanung  
2013,09103,Vermögens- und Beteiligungsmanagement  
2013,09104,Immobilienmanagement  
2013,09105,Steuerverwaltung  
2013,09106,Organisation  
2013,09107,Schule -Bau und Betrieb  
2013,09108,Bezirksverwaltung  
2013,09201,"Kapitalvermögen, Schuldendienst u.ä  "
2013,09202,Spielbank- und Lotteriewesen  
2013,09203,Unternehmen und Beteiligungen  
2013,09204,Zentrale Personalausgaben  
2013,09205,"Steuern, Bezirke und sonstige zentrale Angelegenheiten "
2013,09206,IT-Gesamtplanung und IT-Infrastruktur  
