Jahr,Kapitel,AOB,Funktion,Epl,AGB-Nr.,Kapiteltext
2013,1000,10,011,010,01,Bürgerschaft  
2013,1020,12,051,010,02,Verfassungsgericht  
2013,1030,13,011,010,03,Rechnungshof  
2013,1100,11,011,011,01,Senat  
2013,1140,11,012,011,02,Personalamt  
2013,1211,81,012,012,01,Steuerung und Service  
2013,1221,81,012,012,01,Bürgerservice  
2013,1231,81,012,012,01,"Soziales, Jugend und Gesundheit  "
2013,1241,81,012,012,01,"Wirtschaft, Bau und Umwelt  "
2013,1311,82,012,013,01,Steuerung und Service  
2013,1321,82,012,013,01,Bürgerservice  
2013,1331,82,012,013,01,"Soziales, Jugend und Gesundheit  "
2013,1341,82,012,013,01,"Wirtschaft, Bau und Umwelt  "
2013,1411,83,012,014,01,Steuerung und Service  
2013,1421,83,012,014,01,Bürgerservice  
2013,1431,83,012,014,01,"Soziales, Jugend und Gesundheit  "
2013,1441,83,012,014,01,"Wirtschaft, Bau und Umwelt  "
2013,1511,84,012,015,01,Steuerung und Service  
2013,1521,84,012,015,01,Bürgerservice  
2013,1531,84,012,015,01,"Soziales, Jugend und Gesundheit  "
2013,1541,84,012,015,01,"Wirtschaft, Bau und Umwelt  "
2013,1611,86,012,016,01,Steuerung und Service  
2013,1621,86,012,016,01,Bürgerservice  
2013,1631,86,012,016,01,"Soziales, Jugend und Gesundheit  "
2013,1641,86,012,016,01,"Wirtschaft, Bau und Umwelt  "
2013,1711,87,012,017,01,Steuerung und Service  
2013,1721,87,012,017,01,Bürgerservice  
2013,1731,87,012,017,01,"Soziales, Jugend und Gesundheit  "
2013,1741,87,012,017,01,"Wirtschaft, Bau und Umwelt  "
2013,1811,88,012,018,01,Steuerung und Service  
2013,1821,88,012,018,01,Bürgerservice  
2013,1831,88,012,018,01,"Soziales, Jugend und Gesundheit  "
2013,1841,88,012,018,01,"Wirtschaft, Bau und Umwelt  "
2013,2000,20,012,020,01,Justizverwaltung  
2013,2050,20,011,020,02,Hamburgischer Beauftragter für Datenschutz und Informationsfreiheit 
2013,2060,20,051,020,03,Staatsanwaltschaften  
2013,2110,20,051,020,04,Ordentliche Gerichte  
2013,2190,20,051,020,05,Fachgerichte  
2013,2300,20,056,020,06,Justizvollzug  
2013,3000,30,111,031,01,Verwaltung  
2013,3010,30,129,031,01,Bau und Beschaffungen  
2013,3020,30,111,031,02,Zentrale Fachaufgaben Bildung  
2013,3050,30,154,031,03,Landesinstitut Lehrerbildung und Schulentwicklung  
2013,3060,30,129,031,03,Regionale Beratungs- und Unterstützungsstellen  
2013,3070,30,185,031,03,Jugendmusikschule  
2013,3100,30,112,031,04,Grundschulen  
2013,3110,30,124,031,04,Sonderschulen  
2013,3120,30,114,031,04,Gymnasien  
2013,3140,30,114,031,04,Stadtteilschulen  
2013,3150,30,127,031,05,Berufliche Schulen  
2013,3160,30,113,031,06,Schulen in freier Trägerschaft  
2013,3200,30,153,031,07,Außerschulische Berufsbildung und Weiterbildung  
2013,3290,30,153,031,08,Politische Bildung und Jugendinformation  
2013,3400,34,012,032,01,Verwaltung  
2013,3410,34,165,032,02,Förderung der außeruniversitären Forschung  
2013,3420,34,133,032,03,Universität  
2013,3470,34,162,032,04,Staats- und Universitätsbibliothek  
2013,3500,34,133,032,10,Technische Universität Hamburg-Harburg (TUHH)  
2013,3501,34,133,032,05,HafenCity Universität  
2013,3510,34,133,032,06,Hochschule für Angewandte Wissenschaften Hamburg  
2013,3580,34,133,032,07,Hochschule für bildende Künste Hamburg  
2013,3590,34,133,032,08,Hochschule für Musik und Theater  
2013,3600,34,132,032,09,Universitätsklinikum Hamburg-Eppendorf  
